"('A',)","('B',)","('C',)","('D',)","('E',)","('F',)","('G',)","('A', 'B')","('A', 'C')","('A', 'D')","('A', 'E')","('A', 'F')","('A', 'G')","('B', 'C')","('B', 'D')","('B', 'E')","('B', 'F')","('B', 'G')","('C', 'D')","('C', 'E')","('C', 'F')","('C', 'G')","('D', 'E')","('D', 'F')","('D', 'G')","('E', 'F')","('E', 'G')","('F', 'G')","('A', 'B', 'C')","('A', 'B', 'D')","('A', 'B', 'E')","('A', 'B', 'F')","('A', 'B', 'G')","('A', 'C', 'D')","('A', 'C', 'E')","('A', 'C', 'F')","('A', 'C', 'G')","('A', 'D', 'E')","('A', 'D', 'F')","('A', 'D', 'G')","('A', 'E', 'F')","('A', 'E', 'G')","('A', 'F', 'G')","('B', 'C', 'D')","('B', 'C', 'E')","('B', 'C', 'F')","('B', 'C', 'G')","('B', 'D', 'E')","('B', 'D', 'F')","('B', 'D', 'G')","('B', 'E', 'F')","('B', 'E', 'G')","('B', 'F', 'G')","('C', 'D', 'E')","('C', 'D', 'F')","('C', 'D', 'G')","('C', 'E', 'F')","('C', 'E', 'G')","('C', 'F', 'G')","('D', 'E', 'F')","('D', 'E', 'G')","('D', 'F', 'G')","('E', 'F', 'G')","('A', 'B', 'C', 'D')","('A', 'B', 'C', 'E')","('A', 'B', 'C', 'F')","('A', 'B', 'C', 'G')","('A', 'B', 'D', 'E')","('A', 'B', 'D', 'F')","('A', 'B', 'D', 'G')","('A', 'B', 'E', 'F')","('A', 'B', 'E', 'G')","('A', 'B', 'F', 'G')","('A', 'C', 'D', 'E')","('A', 'C', 'D', 'F')","('A', 'C', 'D', 'G')","('A', 'C', 'E', 'F')","('A', 'C', 'E', 'G')","('A', 'C', 'F', 'G')","('A', 'D', 'E', 'F')","('A', 'D', 'E', 'G')","('A', 'D', 'F', 'G')","('A', 'E', 'F', 'G')","('B', 'C', 'D', 'E')","('B', 'C', 'D', 'F')","('B', 'C', 'D', 'G')","('B', 'C', 'E', 'F')","('B', 'C', 'E', 'G')","('B', 'C', 'F', 'G')","('B', 'D', 'E', 'F')","('B', 'D', 'E', 'G')","('B', 'D', 'F', 'G')","('B', 'E', 'F', 'G')","('C', 'D', 'E', 'F')","('C', 'D', 'E', 'G')","('C', 'D', 'F', 'G')","('C', 'E', 'F', 'G')","('D', 'E', 'F', 'G')","('A', 'B', 'C', 'D', 'E')","('A', 'B', 'C', 'D', 'F')","('A', 'B', 'C', 'D', 'G')","('A', 'B', 'C', 'E', 'F')","('A', 'B', 'C', 'E', 'G')","('A', 'B', 'C', 'F', 'G')","('A', 'B', 'D', 'E', 'F')","('A', 'B', 'D', 'E', 'G')","('A', 'B', 'D', 'F', 'G')","('A', 'B', 'E', 'F', 'G')","('A', 'C', 'D', 'E', 'F')","('A', 'C', 'D', 'E', 'G')","('A', 'C', 'D', 'F', 'G')","('A', 'C', 'E', 'F', 'G')","('A', 'D', 'E', 'F', 'G')","('B', 'C', 'D', 'E', 'F')","('B', 'C', 'D', 'E', 'G')","('B', 'C', 'D', 'F', 'G')","('B', 'C', 'E', 'F', 'G')","('B', 'D', 'E', 'F', 'G')","('C', 'D', 'E', 'F', 'G')","('A', 'B', 'C', 'D', 'E', 'F')","('A', 'B', 'C', 'D', 'E', 'G')","('A', 'B', 'C', 'D', 'F', 'G')","('A', 'B', 'C', 'E', 'F', 'G')","('A', 'B', 'D', 'E', 'F', 'G')","('A', 'C', 'D', 'E', 'F', 'G')","('B', 'C', 'D', 'E', 'F', 'G')","('A', 'B', 'C', 'D', 'E', 'F', 'G')"
42,26,30,19,20,17,24,34,52,18,17,21,31,26,22,15,27,13,24,24,24,31,13,30,13,10,8,8,23,11,6,18,10,24,21,21,31,6,12,7,5,3,6,24,9,23,16,7,47,8,8,2,6,9,21,18,9,6,11,15,0,7,0,17,5,15,13,0,13,7,1,0,4,8,14,12,5,3,8,3,0,2,0,5,24,16,8,0,12,12,0,6,0,9,0,7,0,0,0,15,13,3,0,8,0,0,3,0,2,0,4,0,0,8,0,11,0,0,0,0,0,7,0,0,0,0,0
40,28,30,20,20,21,23,27,48,15,21,20,25,24,21,11,26,13,17,20,20,24,21,22,9,10,8,5,17,5,12,12,4,17,19,21,13,11,6,3,8,5,3,6,7,13,14,4,33,6,5,2,4,14,8,5,5,5,5,6,5,1,0,5,5,7,2,0,0,0,4,0,0,14,5,2,4,2,3,3,4,0,0,2,2,4,3,1,6,1,2,2,0,2,2,1,0,0,0,0,0,2,0,0,0,0,0,0,2,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
39,27,31,19,17,22,27,34,62,15,23,22,20,20,19,12,21,15,16,16,21,21,16,34,9,11,13,7,29,8,10,13,7,16,22,33,19,8,3,7,9,7,5,2,7,10,6,2,31,7,2,8,2,6,10,5,8,9,10,30,3,2,1,4,13,21,7,0,0,2,6,1,2,6,5,5,12,5,12,0,1,0,1,0,0,0,4,5,3,0,4,0,1,2,1,2,3,0,0,0,0,9,4,6,0,0,0,1,0,1,0,3,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0
37,29,30,19,19,23,27,35,66,19,20,18,23,17,18,16,22,23,15,16,19,18,15,39,12,16,14,9,29,5,9,17,14,32,24,34,23,7,13,7,7,13,5,2,8,12,9,5,26,5,10,7,3,5,11,4,5,7,10,36,6,3,0,6,15,26,9,0,3,0,6,2,3,13,25,11,5,15,15,4,4,3,0,0,2,0,2,4,6,7,4,0,0,1,4,4,0,0,0,6,0,3,8,9,0,0,0,0,2,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,27,34,19,18,25,27,30,66,22,14,21,23,18,16,10,12,22,17,15,32,16,14,35,17,12,11,13,17,4,7,5,8,41,16,56,23,7,19,13,6,9,11,6,2,7,4,6,12,9,5,5,4,4,27,10,3,3,15,22,9,6,0,9,1,7,0,0,0,0,1,4,1,10,52,22,3,9,31,3,6,10,0,0,1,3,1,0,1,8,1,3,0,3,3,12,0,0,0,0,0,1,0,0,0,0,0,0,3,9,31,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
37,27,33,20,19,22,26,47,80,13,13,16,23,28,15,10,15,19,19,17,25,17,12,26,11,13,11,11,56,4,10,6,18,30,15,57,28,3,9,10,1,7,14,7,4,7,8,5,12,4,2,8,5,4,14,8,4,3,16,11,5,7,1,2,3,10,7,2,0,2,0,11,4,1,36,18,4,3,37,0,2,10,0,2,0,3,0,2,4,2,2,0,0,0,1,10,0,0,1,0,1,0,2,4,0,2,0,0,0,1,28,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
35,27,34,20,17,20,27,49,66,9,12,15,20,31,9,11,12,19,11,19,20,11,13,19,11,7,9,12,41,8,11,10,23,15,13,27,10,2,5,5,0,5,10,4,6,6,7,5,5,7,4,8,2,5,8,1,8,3,3,4,5,6,3,8,7,3,10,5,1,10,0,9,4,2,12,3,0,3,3,0,3,1,0,3,1,3,1,4,0,2,5,1,0,0,1,0,0,2,5,1,7,0,6,0,0,7,1,0,0,2,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0
33,26,33,19,17,22,29,32,67,8,15,17,24,25,10,13,13,17,6,14,20,15,11,10,5,5,13,17,38,3,5,7,22,4,13,14,33,4,4,1,6,4,8,2,1,8,10,7,2,2,2,4,8,1,0,0,1,5,5,5,4,0,3,2,2,8,22,1,0,0,0,0,9,0,0,0,1,1,6,4,1,0,0,0,0,0,0,1,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,28,30,18,17,21,26,31,55,13,19,18,23,24,12,17,15,17,8,14,20,21,15,14,10,11,19,14,32,6,13,7,13,12,24,20,28,11,8,7,10,14,12,1,9,10,10,12,4,4,4,10,5,2,7,2,6,7,7,9,8,1,6,0,18,3,11,5,0,3,0,7,6,8,15,6,13,11,10,8,8,3,7,0,2,0,1,4,4,1,5,0,0,4,2,2,2,1,0,0,0,0,7,3,0,4,0,0,12,6,6,6,3,0,0,0,0,0,2,0,0,0,0,0,6,0,0
31,29,27,18,18,22,25,36,50,17,15,16,26,21,12,19,16,16,11,12,14,14,11,16,13,18,19,16,39,12,9,4,10,17,20,24,17,8,9,5,10,10,18,3,10,2,6,8,6,4,9,11,8,4,9,3,7,3,8,8,8,5,14,5,12,0,2,2,2,1,0,4,6,9,16,4,20,5,19,7,4,5,6,1,1,1,1,3,1,2,5,2,5,7,3,5,5,3,0,0,0,0,2,0,0,0,1,0,16,4,8,10,4,1,1,1,1,1,5,0,0,0,0,0,8,1,0
30,29,27,18,19,17,26,30,43,21,15,14,23,25,17,18,16,20,17,10,14,14,12,12,11,12,20,20,29,20,9,13,12,37,11,20,18,6,6,2,5,6,15,15,8,15,3,8,8,4,10,14,9,8,7,0,6,4,10,6,6,9,18,29,6,22,4,4,5,1,6,4,0,7,7,0,10,4,17,2,1,0,3,6,6,0,8,0,0,3,3,4,12,4,0,0,6,2,2,6,0,10,0,0,2,1,0,0,4,0,0,6,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0
29,28,27,16,19,16,23,27,49,20,16,12,18,22,17,14,13,24,21,12,18,8,16,15,15,8,17,14,23,17,6,10,10,41,13,18,13,8,9,8,4,8,3,12,8,19,8,12,9,10,4,10,11,10,21,3,15,4,3,5,10,9,4,13,4,18,5,11,7,1,2,0,2,6,13,5,7,7,0,3,1,1,0,5,13,2,13,2,3,2,5,7,1,12,2,0,3,1,5,11,0,6,0,0,2,0,1,0,7,0,0,0,0,6,2,0,2,0,0,6,0,0,0,0,0,0,0
29,27,27,16,22,15,25,27,58,18,27,16,20,23,13,18,8,30,19,25,23,12,18,10,14,9,16,9,24,8,15,4,14,32,36,54,11,16,12,6,4,7,1,4,11,11,13,12,1,9,5,10,6,17,20,6,16,8,1,3,10,3,2,4,10,14,9,7,0,4,2,5,1,32,27,4,13,5,0,3,4,0,0,4,0,2,9,2,0,1,3,1,1,8,8,1,0,0,4,0,2,8,2,0,0,2,0,0,6,4,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0
28,26,30,17,22,14,26,24,64,25,32,15,24,22,6,14,5,33,26,37,30,15,25,18,14,13,10,7,31,7,14,4,31,41,59,51,30,28,18,3,20,8,3,5,9,0,17,7,0,7,2,7,6,39,31,4,32,2,0,19,7,5,1,9,10,0,26,6,0,3,0,8,6,62,50,2,74,3,0,26,3,0,0,4,0,2,0,0,0,0,5,0,0,43,0,0,0,0,5,0,2,0,0,0,0,3,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,23,29,18,23,15,26,32,83,25,32,14,29,22,5,11,7,28,28,46,22,13,25,18,14,17,14,9,57,6,19,3,35,65,94,46,31,32,18,9,13,15,3,5,24,0,13,5,0,5,0,6,7,35,36,0,29,14,0,18,7,4,4,12,48,0,23,9,0,3,0,8,5,79,53,0,60,25,0,16,10,1,0,8,0,0,0,11,0,0,2,0,0,31,0,0,0,0,21,0,0,0,15,0,0,2,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,23,29,20,24,15,23,27,86,23,33,8,24,28,7,17,5,18,25,49,14,7,26,15,21,10,18,13,45,3,14,0,19,67,112,12,4,18,7,11,4,11,3,8,36,1,6,7,0,6,0,10,3,27,17,2,5,11,1,7,21,12,0,6,35,0,3,4,0,3,0,5,0,68,12,1,3,4,0,0,8,2,0,15,0,1,0,12,0,0,4,0,0,5,3,1,0,0,12,0,1,0,4,0,0,2,0,0,0,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0
31,22,28,19,24,18,26,31,74,20,31,8,20,25,7,17,5,14,27,38,9,3,25,18,25,14,21,17,49,7,17,1,11,54,75,9,0,18,5,6,3,7,4,15,30,3,1,10,0,4,1,6,1,28,11,3,2,3,0,16,21,13,8,23,46,0,0,9,0,0,0,0,0,48,11,0,0,0,0,2,5,3,3,20,0,1,1,2,0,0,5,0,0,0,2,0,0,9,27,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0
27,21,29,19,24,18,25,25,74,15,25,12,10,26,9,17,7,14,26,37,11,9,28,23,18,23,16,18,60,7,22,7,3,48,59,27,2,18,6,0,7,4,2,12,25,2,2,14,5,3,6,3,3,34,11,1,9,2,1,27,9,19,12,19,50,6,0,11,0,0,3,0,1,54,15,0,15,1,0,6,0,0,1,18,0,0,0,0,0,8,2,4,1,17,0,0,0,13,26,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
25,21,30,19,24,17,25,26,74,18,23,15,7,27,11,17,9,15,26,32,19,15,24,23,9,22,19,9,40,11,16,4,3,40,44,63,5,13,17,0,9,2,1,14,22,2,12,14,14,1,13,5,0,15,14,4,6,12,1,33,5,4,6,11,29,2,3,11,9,0,8,0,0,13,38,0,5,1,1,16,0,0,1,12,3,3,4,9,0,22,1,0,0,8,2,0,1,4,10,3,0,4,0,0,16,0,0,0,6,0,0,1,0,6,1,0,0,0,0,6,0,0,0,0,0,0,0
23,20,31,20,22,17,25,18,57,24,18,15,11,14,13,17,13,13,30,24,19,14,25,17,7,22,16,4,12,8,11,7,3,39,25,28,9,14,11,1,15,4,0,10,6,2,2,16,10,2,15,3,1,21,9,5,6,13,1,18,7,3,6,1,3,0,1,5,6,0,10,0,0,16,5,0,1,7,0,14,0,0,0,6,2,2,4,0,0,11,3,1,2,5,5,1,1,3,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,4,0,0,0,2,1,0,0,0,0,0,0,0,0
22,21,31,20,22,17,24,18,41,21,15,14,8,12,7,15,6,10,41,17,24,13,24,19,6,26,11,4,9,1,9,2,4,48,10,18,3,4,8,1,6,5,1,5,6,2,0,12,5,0,11,2,0,17,25,14,16,9,6,22,4,6,4,0,7,0,0,0,1,0,0,3,0,2,12,3,0,2,0,2,1,0,1,5,3,0,1,0,0,11,0,0,0,16,12,11,6,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,11,0,0,0,0,0,0,0,0
